judul_proposal,deskripsi
Jasa Penyusunan dan Review Master Plan Teknologi Informasi PT Pos Indonesia (Persero),enterprise computing
Kegiatan Swakelola Implementasi Sistem Operasi Terpadu (SOT) Pengelolaan Sumber Daya Migas Tahap 2,sistem komputer
Belanja Jasa Konsultansi Software Aplikasi Aplikasi Absensi Pegawai Online,software engineering
Pengadaan Jasa Konsultansi Teknologi Informasi pada Jasa Sewa Layanan Infokom,enterprise computing
Secure And Ready Forensic Communication Network,sistem komputer
Jasa Konsultasi Studi Kelayakan Ducting bersama dan Blud,enterprise computing
Belanja Jasa Konsultasi Perencanaan Aplikasi Smart Government Tahun 2016,enterprise computing
Belanja Jasa Konsultasi Studi Kelayakan Microcell Pole / MCP,enterprise computing
Pengadaan Jasa Konsultan untuk Melaksanakan Network Audit terhadap Penggunaan / Pemanfaatan Tiang Tumpu PLN oleh PT Link Net.Tbk / PT First Media,sistem komputer
Pengembangan Sistem Informasi Kesehatan Dinas Kesehatan Tahun 2016,information management
Belanja Jasa Konsultasi Pembuatan Sistem Aplikasi Pelaporan dan Penugasan,software engineering
GANESHA HEJO: Program Pengelolaan Sampah Terintegrasi di Kawasan Ganesha,social and professional issue
Pengembangan Collaborative Learning System Berbasis Komputasi Awan (Development of Collaborative Learning System on the Cloud),sistem komputer
Pengembangan Perangkat Digital Signage dengan   Konsumsi Daya Rendah dan Ukuran yang Kompak,enterprise computing
Optimalisasi Bandwidth Internet di Instansi Pemerintah Melalui Pengukuran Produktivitas Penggunaannya   (Studi Kasus di Kampus ITB-Bandung),sistem komputer
SOA Quality Assessment Framework,software engineering
Penerapan GOAL-ORIENTED REQUIREMENT ANALYSIS(GORA) untuk Meningkatkan Keberhasilan Pengembangan Sistem Informasi di Instansi Pemerintah,information management
Online Communication Analysis System for Water Governance; Case study: Bandung city,enterprise computing
Sistem Digital Signage sebagai Media Informasi Publik dan Solusi Peningkatan Brand Awareness bagi Industri,enterprise computing
Pengembangan Kotak Komputer Server Sederhana Sebagai Media Belajar Interaktif (EduBox),sistem komputer
Pengembangan Perangkat Telepresence Sebagai Sarana Pertemuan Jarak Jauh Dengan Konsep Visualisasi Spatial Bagi Dunia Industri,graphics and visualization
Adaptif System for Internet of Thing (IoT) in Healthcare,sistem komputer
Teknologi Konferensi Multimedia untuk Sekolah Pedesaan dengan Bandwidth Internet Terbatas,sistem komputer
PHOTOMETER SYSTEM,intelligent system
QURAN RECITATION AUTOMATIC CHECKER,intelligent system
Sistem Produk-Layanan Kelas Virtual untuk Pembelajaran Jarak Jauh di Sekolah Dasar Pedesaan (Product-Service System on Virtual Class for Distance Learning in Rural Elementary School),sistem komputer
Peningkatan Literasi Komputer Guru Sekolah Dasar Pedesaan Dalam Pemanfaatan Layanan Pembelajaran Digital Pada Jaringan Testbed Bandung-Subang-Cianjur,social and professional issue
PEMBANGUNAN SISTEM KOMUNIKASI DAN KOLABORASI UKM UNTUK PROMOSI DAN PEMASARAN022-2508135,sistem komputer
Desain dan implementasi framework perangkat lunak aplikasi berbasis text untuk masyarakat daerah pedesaan Indonesia. (Design and implementation of the text-based applications software framework for Indonesia rural area communities),software engineering
Identifikasi Sidik Jari Dengan Pendekatan Komputasi Banyak Core (Many Core Computing),sistem komputer
Rancang Bangun Sistem Cerdas Tanya-Jawab berbasis SMS,intelligent system
Optimasi Sistem Konferensi Multimedia Berbasis Web Untuk Pembelajaran Digital Sekolah Dasar Di Pedesaan (Optimation of Web-based Multimedia Conference System for Digital Learning in Rural Elementary School),sistem komputer
Pengembangan Prototipe Sistem e-Government Terpadu yang Handal Berbasis Komputing Cloud,sistem komputer
Data Mining Data Genomik untuk Prediksi Resiko Penyakit Kompleks,information management
Voice Command Bahasa Indonesia untuk Telepon Seluler,intelligent system
Testbed Disaster Manajemen Information System (DIMaS) kasus DIMaS SIAGA,information management
Peranancangan Digital Office System  (Layanan untuk Kantor Pemerintahan Kabupaten/Kota),enterprise computing
Desain dan Implementasi Mobile Learning Berbasis SOA dan Integrasi Service Cloud Computing untuk Mendukung Proses Belajar Mengajar di Sekolah,sistem komputer
Sistem Verifikasi Identitas Kependudukan Terpadu,software engineering
Desain Proxy Cloudlet pada Mobile Cloud Computing,sistem komputer
PEMBANGUNAN PLATFORM CLOUD YANG TEPAT GUNA BAGI KOMUNITAS BERGERAK,sistem komputer
Pengembangan Sistem TIK untuk Kelas Berbasis VIDEOLAN untuk Mendukung Layanan Pembelajaran Jarak Jauh di Pedesaan,sistem komputer
Pengembangan Komunitas Siswa Belajar Berbasis TIK (Studi Kasus Desa Punclut-Jawa Barat),social and professional issue
Cloud Health di Indonesia (CLoud Health Reminder System Tuberculosis),sistem komputer
: Alat Bantu Identifikasi Plagiasi Dokumen menggunakan Informasi Sintaks dan Latent Semantic,intelligent system
Kajian dan Implementasi Sistem Visual Interaktif untuk Analisa Geometrik dari Kromosom,graphics and visualization
Peningkatan Literasi TIK Komunitas Guru Sekolah Bandung-Subang-Cianjur untuk Mendukung e-Learning,social and professional issue
Pemodelan Kinerja Jaringan Nirkabel Berbasis   IEEE 802.11 yang Mendukung Kualitas   Layanan Video Streaming,sistem komputer
Pengembangan Embedded Virtual Class Box untuk Mendukung Pembelajaran Jarak Jauh untuk Sekolah di Daerah Rural,software engineering
Jaminan Kualitas Layanan Cross-Layer pada Multimedia  Streaming di Jaringan Wireless Internet (Cross-Layer Based QoS in Multimedia Streaming in Internet  Wireless Network),sistem komputer
Pembangkit Portofolio Siswa Otomatis,intelligent system
Semantic Tecjnology untuk Mendukung Interoperabilitas Antar Model Informasi Electronic Health Record (EHR),information management
PEMBANGKITAN SOAL KUIS OTOMATIS PADA   EVALUASI PEMBELAJARAN DIGITAL,intelligent system
Pemodelan Struktur Metadata IRySS (Intelligent Repository Storage System) - Kasus Komponen Dasar Doman Independen IRySS,information management
Digital Course-Content Creator,software engineering
Sistem Pendeteksian Obyek dalam Video Untuk Layanan Video Berbasis Komputasi Awan,graphics and visualization
Pengelolaan Pengetahuan & Teknologi Pangan untuk meningkatkan kualitas nutrisi mayarakat Indonesia,software engineering
Pendeteksi Plagiarisme Karya Ilmiah Multibahasa (Indonesia dan Inggris),intelligent system
Digital Learning Platform,software engineering
Sistem Remote Monitoring Sensor Bencana Menggunakan Teknologi Komunikasi Akses GPRS dan Teknologi Server Cloud Computing,sistem komputer
Pengembangan Information Center sebagai Sarana penyediaan informasi bagi Badan Publik (UU 18 2008 KIP),information management
Sistem Monitoring Nasional Kinerja Pengelolaan Sampah Perkotaan di Indonesia,information management
Pengembangan Sistem Perangkat Lunak Interpretatif untuk Pengenalan Lokasi berbasis Obyek Terdeteksi dari Gambar,graphics and visualization
Sistem Manajemen Konten Pembelajaran Multimedia untuk Mendukung e-Learning,information management
Protokol Pengiriman Data Video untuk Jaringan Nirkawat 4G,sistem komputer
Pengembangan Visualisasi dan Editor Kode Program pada Perangkat Android,algoritma dan pemrograman
Karakterisasi Cloud Computing untuk Smart Power Grid Indonesia,sistem komputer
Model Intelligent Transportation System berbasis Cloud Computing untuk Green Infrastructure,sistem komputer
Perancangan Cloud-based Mobile Kiosk sebagai layanan informasi terpadu untuk masyarakat pedesaan,sistem komputer
Service Quality Assessment Framework,software engineering
Rancangan Dasar Sistem Pengelolaan Pengetahuan untuk Kepakaran ITB,intelligent system
Integrasi Data Genom (Genomic Data) dalam Electronic Health Record (EHR),information management
Deviation Detection via Visualization,graphics and visualization
Pengembangan Sistem Manajemen Perpustakaan Dijital Universitas berbasis Dokumen Elektronik,information management
Simulasi Fluida 2 D Berbasiskan Partikel Menggunakan Smoothed Particle Hydrodynamics Untuk Aplikasi Mobile Interaktif,algoritma dan pemrograman
Analisis Teknologi Multicast Sebagai Aplikasi Alternatif Untuk Layanan Konferensi Video Pada Testbed Low Speed Network,sistem komputer
Pengembangan Sistem Monitoring Berbasis Web Untuk Mendukung Kelangsungan Layanan Digital Learning Pedesaan,software engineering
Integrasi Media Sosial Microblog dalam Massive Open Online Course (MOOC),software engineering
Pengembangan Model Enterprise Information Center sebagai implementasi Karakterisasi Informasi,enterprise computing
Teknik QoS pada Layanan Kelas Virtual dengan Teknologi Tele-Konferensi untuk Mendukung Digital Lesson Study,sistem komputer
Pengembangan Metode Kompresi Dictionary-Based Pseudo Parallel didalam Meningkatkan Daya Tampung SMS Massal Terpersonalisasi Menggunakan Bahasa Indonesia,algoritma dan pemrograman
Pengembangan Customized Social Network Berbasis Web untuk Menunjang Lesson Study secara Online,software engineering
Pengembangan Platform Virtual Class Box untuk Layanan Pembelajaran Digital,software engineering
Pemanfaatan Teknologi Digital Signage untuk mendukung dan meningkatkan Sistem Informasi dan Komunikasi Kampus,enterprise computing
Peningkatan Literasi TIK pada Pembelajaran Online Kolaboratif bagi Komunitas Guru di Jawa Barat,software engineering
Sistem Komunikasi Visual Secara Immersive Untuk Distance Learning,sistem komputer
Pembangunan Digital Learning Platform,software engineering
Pengembangan Jejaring Sosial untuk Pembelajaran Kolaboratif (Smart Learning System),software engineering
Sistem Penanda Hak Cipta pada Peta Vektor SIG (Sistem Informasi Geografis),information management
"Metode Akses Langsung untuk Optimasi Kecepatan Identifikasi Sidik Jari, Wajah, dan Suara pada Database Skala Besar",information management
Studi Penerapan dan Dampak Mobile Cyber Market pada Masyarakat Petani di Lingkungan DAS Citarum,social and professional issue
Uji Model Basisdata Spatio-Temporal untuk Kebencanaan di Indonesia,information management
Pengembangan Software Antarmuka Digital Content-Course Creator berbasis Freeware untuk Mendukung Digital Learning,software engineering
Pembangkit Portofolio Siswa,intelligent system
Perancangan dan implementasi perangkat Audience Computer untuk mendukung program Digital Learning,software engineering
PENCETAKAN LULUSAN SMA/SMK MENJADI WIRAUSAHA TUTOR EKTRA KURIKULER,sistem komputer
KOMPARATOR GAMBAR  BERBASIS STATISTIK DAN BENTUK GEOMETRI,graphics and visualization
Pengembangan Konten Video Ajar Perkuliahan Berbasis Blended Learning dan Pengukuran Efektivitasnya untuk Perkuliahan Teknologi Informasi,information management
Simulasi Fluida Berbasis Partikel Untuk Aplikasi Mobile  Interaktif,algoritma dan pemrograman
Pengembangan Customized Social Network Berbasis Web untuk Menunjang Lesson Study secara Online (Development of Web-based Customized Social Network for Supporting Online Lesson Study),software engineering
Arsitektur QoS pada Aplikasi Multimedia Delivery untuk Mendukung Digital Lesson Study (QoS Architecture on Multimedia Delivery Application for Supporting Digital Lesson Study),software engineering
Analisis Teknologi Multicast Sebagai Aplikasi Alternatif Untuk Layanan Konferensi Video Pada Testbed Low Speed Network,information management
Assessment Framework Perkuliahan  berbasis Business Intelligence Tahap I: Sistem Penunjang Tesis,software engineering
Pengembangan Framework  Learning ManagementSystem dengan Autograder  untuk Ujian dan Praktikum Programming,graphics and visualization
Deviation Detection via Visualization,information management
PENJAMINAN INTEGRITAS DATA UNTUK KEAMANAN TRANSAKSI PETA DIGITAL MENGGUNAKAN DIGITAL WATERMARKING,software engineering
Pengembangan Kerangka Penilaian Empiris untuk Model Kualitas Pembelajaran Digital,intelligent system
PEMBANGKITAN SOAL DAN PEMERIKSAAN JAWABAN  ESSAY SECARA OTOMATIS UNTUK EVALUASI   PEMBELAJARAN DIGITAL  (An Automatic Question Generator and Answer Judgment for Digital Learning Evaluation),information management
Solusi lojik penanganan objek bergerak dalam model Basisdata Spatio Temporal Kebencanaan Indonesia,information management
Pengembangan Model Kualitas Informasi untuk Rumah  Sakit dengan menggunakan pendekatan Six-Sigma,software engineering
Peningkatan Daya Saing Pedagang Eceran Tradisional dengan Penerapan Aplikasi Point of Sale  berbasis Smartphone,software engineering
Pengembangan Aplikasi Sarana Pelayanan Masyarakat (SAPA) Berbasis Mobile Untuk Mendukung Integrasi Informasi Program Posyandu Jawa Barat,information management
GANESHA HEJO: Program Pengelolaan Sampah Terintegrasi di Kawasan Ganesha,software engineering
Aplikasi Smart Metering System untuk Implementasi Green IT,enterprise computing
Framework Implementasi Nilai Teknologi Informasi pada Industri Kecil Menengah di Indonesia untuk Peningkatan Keunggulan Bersaing,intelligent system
Open-Enterprise Resource Planning untuk Peningkatan Keunggulan Industri Kecil dan Menengah,enterprise computing
Pemanfaatan TIK untuk Peningkatan Industri Kecil Menengah bidang Pariwisata melalui Intelligent Tourism Center System,software engineering
Pemanfaatan Open-Source ERP untuk meningkatkan Kemampuan UKM,information management
Pemanfaatan Jejaring Sosial Facebook dan Media Dropbox Untuk Pendidikan dan Pengajaran di Sekolah,software engineering
Aplikasi Cerdas Manajemen Keuangan Untuk UKM Berbasis Cloud,information management
Penerapan Virtual Classbox untuk Mendukung Online Lesson Study di Cianjur - Jawa Barat,software engineering
Pengembangan Repositori Dokumen Untuk Pendukung Pelaksanaan E-Government,graphics and visualization
Pengembangan Massive Open Online Course (MOOC) untuk Peningkatan Kualitas Pendidikan Indonesia,enterprise computing
PENGEMBANGAN ALGORITMA FRAGILE WATERMARKING UNTUK OTENTIKASI CITRA DIGITAL,sistem komputer
CETAK BIRU KATALOG SISTEM LAYANAN DAN ENTERPRISE SERVICE BUS UNTUK PERUSAHAAN KECIL MENENGAH SEKTOR JASA KEUANGAN,sistem komputer
Fluid Shader untuk Rendering Simulasi Fluida pada Mobile GPU,intelligent system
"E-rINA, Framework Inovatif pada Akses Jaringan Informasi untuk Layanan Kelas Virtual Real-Time di Daerah Rural (E-rINA, An Innovative Framework of Information Network Access for Real-Time Virtual Class Service in Rural Area)",graphics and visualization
Pengembangan Recommender System berbasis pada Kebutuhan Fungsional Pengguna,software engineering
Sistem Pengenalan Buah Otomatis (Automatic Fruit Recognition System),intelligent system
Pengembangan Framework  untuk Aplikasi Mobile Pencegah Perdagangan Anak,information management
Pembangkitan Pertanyaan untuk Sistem Tanya Jawab Medis dalam bahasa Indonesia,intelligent system
Sistem Informasi Adaptif untuk Perguruan Tinggi Berbasis Top-down Design dan Bottom-up Implementation,software engineering
SINTESIS EKSPRESI WAJAH UNTUK  TALKING AVATAR PADA SISTEM CHATBOT,intelligent system
Pengembangan Platform Portaudio DSP untuk Aplikasi Komunikasi Suara Aman Bebas Sadap,enterprise computing
Pembangunan Unified Knowledge Representation  pada Knowledge-based System,enterprise computing
Sistem Enterprise Resource Planning ODoo untuk Peningkatan Keunggulan Industri Kecil & Menengah,information management
Pembuatan Prototype Service-Based Enterprise Resource Planning (Service-Based ERP) untuk Industri Kecil dan Menengah,intelligent system
Pengembangan Sistem Data Terbuka Guna Mendukung Peningkatan Keunggulan dan Keberlanjutan UMKM,software engineering
Penerapan Teknologi Process Mining untuk Memperbaiki Kinerja dan Efisiensi Bisnis Proses (Studi Kasus: Sistem Pengelolaan Sumber Daya),software engineering
Penerapan Teacher Portal untuk Peningkatan Literasi Internet bagi Komunitas Guru Sekolah Dasar di Cianjur Jawa Barat,sistem komputer
Sistem Benchmarking untuk Mengukur Kinerja  Implementasi E-Government,social and professional issue
Platform Penjaminan Kualitas Layanan Voice over IP Terenkripsi dengan Metode Alokasi Ketersediaan Bandwidth pada Jaringan Berkapasitas Terbatas,information management
Pemanfaatan Social Media Marketing untuk UKM Boneka di Kota Bandung,software engineering
Implementasi Sistem Informasi dan Manajemen Pembelajaran untuk Guru (SIMAP) dan Pemberdayaan Guru di Cianjur - Jawa Barat,software engineering
PENGEMBANGAN TRUCK-SHARING SYSTEM PADA START UP SMART MOBILITY,intelligent system
Pengembangan Sistem Self-Adaptive untuk Penyediaan Layanan Perguruan Tinggi Secara Berkelanjutan,intelligent system
Pengembangan Sistem Tanya Jawab Berbasis Bahasa Alami untuk Aplikasi Kesehatan di Puskesmas,intelligent system
Pembangunan Sistem Informasi Akuntansi Cerdas menggunakan Natural Language  dan Struktur Dinamis,software engineering
Otomatisasi Pengenalan Buah dan Sayur di Supermarket berbasis Depth Sensor,intelligent system
Pengembangan Aplikasi Ponsel Cerdas Berbasis Moodle untuk Pembelajaran Online  di Perguruan Tinggi,software engineering
Penggabungan Sumber Informasi Terstruktur dan Tidak Terstruktur dalam Chatbot Bahasa Indonesia,graphics and visualization
Development of Question Answering System for Treatment of Baby Blues Syndrome in Public Health Center,intelligent system
Multi-view Object Recognition based on Shape Association,information management
Development of Intelligence Accounting Information based on Natural Language and Dynamic Structure,software engineering
Geospatial Analytical Search Engine: Performing Extraction and Retrieval of Thematic Maps from Web Sources,graphics and visualization
Penerapan Learning Management System (LMS) berbasis Mobile dengan Teknologi Multimedia untuk Pembelajaran di Sekolah Pedesaan,intelligent system
Normalisasi Lembar Teks Dokumen Dengan Teknik Remapping Image untuk Scanner dengan Camera Android,intelligent system
DECISION SUPPORT SYSTEM TO DETERMINE THE TRACK OPTIONS FOR INSTALLATION OF GAS DISTRIBUTION PIPE BETWEEN SUPPLIER AND DISTRIBUTION POINT,graphics and visualization
Pembangunan Chatbot Bahasa Indonesia untuk Alat Bantu Pembelajaran Bahasa Inggris,sistem komputer
Sistem Interpretasi Visual (Studi Kasus: Pengenalan Objek Buah-Buahan),intelligent system
Sistem Internet of Things dengan Algoritma Peningkatan Efisiensi Daya Sensor,graphics and visualization
Deteksi Kalimat Ofensif dalam Ucapan dan Teks Berbahasa Indonesia Menggunakan Pembelajaran Mesin,information management
Visualisasi Data dan Program untuk Pendukung Kualitas Perangkat Lunak pada Metodologi Situational Method Software Engineering,sistem komputer
Metode Akses Langsung Berbasis Konten Pada Basis Data Non-Alfanumerik,intelligent system
Distributed Digital Learning,software engineering
Pengembangan Prototip Mesin Inferensi Pengetahuan Spasial : studi kasus pengenalan tulisan tangan secara sintaktis,sistem komputer
Pembangunan Prototipe Sistem TIK Untuk Mencari Informasi dan Memasarkan Produk Lokal Unggulan.,social and professional issue
SISTEM MONITORING DENGAN EMBEDDED LINUX,enterprise computing
Peningkatan Kualitas Pendidikan Dasar di Jawa Barat melalui Pemanfaatan Teknologi Informasi dan Komunikasi,software engineering
Desa Cerdas Berbasis Rural-ICT,sistem komputer
Model dan Sistem Pembelajaran dalam Kelas Virtual dengan Bandwith Rendah,intelligent system
Sistem Konferensi Multimedia Berbasis Web untuk Pembelajaran Digital Sekolah Dasar di Pedesaan,sistem komputer
Pembangkitan Ringkasan Secara Otomatis untuk Survey Paper,software engineering
"Rancang Bangun Mini ATCS (Air Traffic Control System), Sarana Pemanduan Lalu-lintas Udara untuk Bandara Kelas Menengah",information management
Penerapan dan Implementasi PSS Akses Informasi/Multimedia untuk Komunitas Masyarakat Belajar,software engineering
Peningkatan Kesejahteraan Petani dengan Penerapan Sistem Informasi Agribisnis,information management
Teknologi Digital Learning untuk Daerah Pedesaan,intelligent system
Disaster Management Information System,information management
Jaringan Sensor Intelejen Untuk Pemantauan Gempa Bumi Berbasis Swarm Optimization,intelligent system
Pembangunan Repository Bahasa-Bahasa Daerah Nusantara Dengan Menggunakan Teknologi WEB Semantik,graphics and visualization
Pembangkitan Ringkasan Secara Otomatis untuk Survey Paper - Penelitian Lanjutan 2011,information management
Pembuatan dan Pengembangan Purwa Rupa Sistem Web Identifikasi Sidik Jari Berbasis Pencarian Makna / Semantik (Searching by Content) Berbantukan Teknologi Open Source Untuk Mendukung Program Nasional Identitas Tunggal (e-KTP),intelligent system
Kajian dan Implementasi Sistem Pengenalan Tulisan Tangan berbasis relasi spasial,intelligent system
Sistem Cerdas untuk Promosi Produk Kerajinan UMKM,sistem komputer
Analisis Sentimen Real Time pada Microblogging,sistem komputer
Sistem Laboratorium Bahasa Multimedia yang Murah berbasis Thin Client Computing,graphics and visualization
Pengembangan Sistem Manajemen Bandwidth Berbasis Web untuk Mendukung Layanan Digital Learning Pedesaan,information management
"Rancangan Dasar Sistem Biometrik Berbasis  Pengenalan Sidik Jari, Wajah, dan Suara",algoritma dan pemrograman
Genomic Data Mining Untuk  Prediksi Resiko Penyakit Kompleks Dalam Rangka Menunjang Personalized Medicine,software engineering
PENGEMBANGAN BEBERAPA ALGORITMA ENKRIPSI SELEKTIF UNTUK CITRA DIGITAL  DENGAN MENGGUNAKAN FUNGSI CHAOS,algoritma dan pemrograman
"Mata kuliah ini mengenalkan tentang konsep fundamental pemrograman: abstraksi, dekomposisi problem, modularisasi, rekurens; skill/praktek pemrograman skala kecil (aspek koding); dan memberikan peta dunia pemrograman untuk dapat mempelajari pemrograman secara lebih mendalam pada tahap berikutnya.",algoritma dan pemrograman
"Mata kuliah ini memberikan pemahaman atas konsep algoritma dan struktur data yang umum dipakai di bidang informatika/ilmu komputer, dan (2) keahlian dalam mendesain dan menggunakan algoritma dan struktur data yang baik untuk memecahkan persoalan, dan (3) membangun program dengan paradigma prosedural skala menengah dengan bahasa pemrograman C.",algoritma dan pemrograman
Mata kuliah PBO memberikan pemahaman atas konsep dan keahlian dalam menmbangun program dengan paradigma berorientasi objek dengan 3 bahasa pemrograman.,algoritma dan pemrograman
"Algorithm complexity, Brute Force Algorithms, Greedy Algorithms, Divide and Conquer Algorithms, DFS, BFS, Backtracking Algorithms, Branch and Bound Algorithms, Dynamic Programming String Matching, NP Theory",algoritma dan pemrograman
"Perkuliahan ini menjelaskan sejumlah platform computing selain general purpose computer. Kuliah ini mengajarkan sejumlah teknik untuk mendesian dan mengembangkan aplikasi pada sebuah platform khusus, dengan memperhatikan keterbatasan pada platform tersebut. Mahasiswa akan belajar bagaimana melakukan pengukuran kinerja dan meningkatkan kinerja dari aplikasi yang telah dibangun pada platform tersebut.",algoritma dan pemrograman
Perkuliahan ini mengajarkan prinsip-prinsip dasar Intrenet dan Aplikasi Internet. Kuliah ini mengajarkan sejumlah teknologi yang dapat digunakan untuk membangun sebuah Aplikasi Internet.,algoritma dan pemrograman
"Himpunan, relasi dan fungsi, teknik pembuktian, teori bilangan, kombinatorial, graf, pohon, dan kompleksitas algoritma.",dasar matematika
"Kuliah ini membahas bagaimana proses penalaran manusia ditirukan oleh komputer, dari kumpulan fakta yang ada diturunkan menjadi fakta baru.",dasar matematika
"Kuliah ini mendeskripsikan materi tentang probability dan dilanjutkan dengan statistik sebagai salah satu pendekatan pengambilan keputusan dengan memanfaatkan komputer. Kuliah ini lebih diarahkan pada pemanfaatan teori peluang dan statistika, dan tidak berfokus pada penjelasan detil mengenai formula-formula pada teori peluang dan statistika.",dasar matematika
Isi mata kuliah adalah ilmu aljabar dan geometri yang diperlukan untuk mata kuliah lainnya di IF,dasar matematika
"Pengantar, serangan pada kriptografi, algoritma kriptografi klasik, kriptanalisis, stream cipher dan block cipher, sistem kriptografi kunci-publik, fungsi hash dan MAC, tanda tangan digital, protokol kriptografi, infrastruktur kunci publik, manajemen kunci, steganografi dan watermarking, kriptografi visual.",dasar matematika
"Konsep model dan simulasi, jenis-jenis simulasi meliputi simulasi kejadian diskrit dan simulasi kejadian kontinu, tinjauan probabilitas dan statistik, pembangkit bilangan random dan variabel random, penggunaan simulasi antrian seperti pada sistem operasi komputer, pemodelan dengan bahasa simulasi CSMP, GPSS dan Dynamo",dasar matematika
Mata kuliah ini menawarkan topik-topik lanjutan dalam bidang ilmu dan rekayasa komputasi untuk memperkaya wawasan mahasiswa yang meminati bidang sains komputer. Setiap tahun topik yang diberikan bisa berbeda-beda bergantung pada isu yang hangat dan menarik saat itu.,dasar matematika
"Sistem temu-balik informasi, model ruang vector, model probabilistic, umpan-balik, perluasan query, thesaurus, evaluasi unjuk kerja system, mesin pencarian",dasar matematika
"Pembuatan image, framebuffer, primitif dari penggambaran objek, algoritma Bresenham, transformasi geometri, window-view, layering, clipping, object filling, optimasi anti-clipping, struktur data spatial, pemodelan hierarki, kurva Bezier & Spline",graphics and visualization
"Mata kuliah ini menjelaskan tentang penyampaian informasi melalui media visual yang berbasis komputer secara efektif. Kuliah ini bertujuan memberikan wawasan mengenai prinsip dan peranan visualisasi dalam interaksi manusia dengan informasi, serta memberikan panduan pengembangan aplikasi visualisasi interaktif sehingga mahasiswa dapat menerapkan pengetahuan yang ada di dalam kelas ke dalam kehidupan sehari-hari. Kuliah ini bersifat multidisiplin yang mencakup aspek biologi, psikologi komunikasi visual, dan teknologi informasi.",graphics and visualization
Kuliah ini membahas konsep grafik 3D dan aspek-aspek pengembangan aplikasi untuk mengelola dan mengolah data berbasis grafik 3D.,graphics and visualization
"Mata kuliah ini memberikan pengetahuan mengenai sistem basis data secara umum, mencakup arsitektur sistem basis data, pemodelan data, perancangan skema basis data relasional, pemanfaatan dan pengelolaan data.",information management
"Mata kuliah ini memberikan pengetahuan mengenai pengelolaan basis data, mencakup peningkatan performansi basis data, manajemen kemanan dan transaksi, pemrograman basis data, dan pengelolaan terdistribusi.",information management
"Pada kuliah ini diberikan pengertian, pemahaman dan pengetahuan mengenai konsep sistem informasi dan peranannya dalam meningkatkan keunggulan kompetitif organisasi",information management
"Mata kuliah ini memberikan wawasan dan pengetahuan mengenai pemodelan data tingkat lanjut, seperti penambahan aspek waktu dan ruang di dalam basis data, penggunaan aturan untuk mendapatkan fakta baru dari basis data, maupun pemodelan data non relasional.",information management
"Mata kuliah ini memberikan wawasan dan pengetahuan mengenai pemafaatan lebih lanjut dari data yang tersimpan di dalam basis data, terutama dalam mendukung business intelligence.",information management
"Mahasiswa memahami peran sistem informasi untuk mendukung kebutuhan organisasi di level non trasaksional beserta peluang dan risikonya. Mahasiswa memahami berbagai aplikasi pendukung sistem informasi dan mampu menganalisa permasalahan organisasi hingga dapat mengembangkan solusi menggunakan beragam aplikasi yang ada. Selain itu, mahasiswa juga memahami tata kelola sistem informasi organisasi.",information management
"Mata kuliah TBFO memberikan pengetahuan pendukung dan keahlian dalam merancang Finite Automata, Regular Expression, dan Pushdown Automata serta pengantar Turing Machine",intelligent system
"Kuliah ini membahas intelligent agent, mulai dari agen dengan tingkat yang paling sederhana (hanya melakukan pencarian), hingga agen yang mampu membentuk pengetahuan sendiri. Untuk setiap tingkatan diberikan aplikasi yang memanfaatkan agen pada tingkat tersebut. Dalam kuliah ini juga diberikan pengantar untuk pattern recognition.",intelligent system
Kuliah ini berisi materi isu-isu terkait bagaimana pengetahuan dapat direpresentasikan secara simbolik agar dapat secara otomatis dilakukan proses penalaran,intelligent system
"Kuliah ini membahas berbagai teknik pembelajaran oleh mesin serta pengenalan pola. Pendekatan yang diberikan mencakup supervised learning, unsupervised learning, dan reinforcement learning.",intelligent system
"Kuliah ini membahas teori dasar dari kakas pemrosesan bahasa alami, text mining, sistem dialog serta pengenalan dan sintesis suara secara otomatis, termasuk algoritma dan arsitektur nya.",intelligent system
"Model formasi citra, fitur dan pemrosesan citra, estimasi motion, segmentasi dan representasi bentuk, pengenalan object",intelligent system
"Pengantar arsitektur computer, representasi data, representasi level mesin, compile, linking dan optimasi program, hierarki memory, I/) dan interrupt",sistem komputer
"Konsep system operasi, manajemen proses, manajemen memory, manajemen file dan device I/O, proteksi dan keamanan system computer, system operasi untuk sistem terdistribusi",sistem komputer
"Pengantar ke jaringan computer, perangkat keras jaringan computer & data link layer, model dasar dari jaringan dgn switch, protocol kerja internet, layer transport, kendali congestion dan alokasi sumber daya, layer aplikasi dan keamanan jaringan",sistem komputer
"Konsep dasar pada sistem paralel dan terdistribusi, fokus pada isu implementasi dan performansi yang terkait, model dan interface dari sistem paralel dan terdistribusi, arsitektur mesin paralel, teknik optimasi program paralel, sinkronisasi, konsistensi dan koherensi, fault tolerant dan reliability",sistem komputer
"Pembahasan lanjut mengenai aspek-aspek penting dari jaringan komputer. Kuliah ini mengulas ulang layanan infrastruktur dan protokol jaringan, khususnya yang terkait dengan masalah performansi dan penanganan congestion pada jaringan. Penekanan khusus diberikan pada arsitektur QoS pada Internet, implementasi protokol jaringan pada router dan host, keamanan jaringan",sistem komputer
"Prinsip dasar pada perancangan dan implementasi program yang berjalan pada dua atau lebih system computer yang terhubung, arsitektur aplikasi terdistribusi, kakas dan framework untuk mengembangkan aplikasi terdistribusi",sistem komputer
