judul_proposal,deskripsi
"PENJAMINAN INTEGRITAS DATA UNTUK KEAMANAN TRANSAKSI PETA DIGITAL MENGGUNAKAN DIGITAL WATERMARKING Cakupan risetKebutuhan jaminan keamanan bagi integritas data pada saat transaksi peta digital adalah sebuah keniscayaan. Untuk itu diperlukan solusi dengan mengembangkan suatu mekanisme yang dapat menjamin integritas data peta digital dengan pembangkitan penanda keabsahan peta asli dan penandaan keabsahaan pada peta tersebut. Verifikasi keautentikkan data dilakukan secara publik untuk peta vektor dua dimensi (2D) yang terbangun dari fitur dasar garis dan poligon yang memenuhi karakteristik invisibility (tidak mengubah tampilan peta) dan fidelity (terjamin kebenaran data). Mekanisme ini akan dibangun menggunakan teknik digital watermarking yang dikembangkan dari penggabungan metode fragile watermarking dan reversible watermarking. SasaranSasaran skema jaminan keamanan integritas data pada peta vektor yang akan dikembangkan ini adalah menghasilkan format standar peta vektor digital yang dipergunakan oleh produsen dan konsumen peta dalam transaksi peta digital dengan jaminan hak pemakaian data  dari sisi teknologi dengan kelengkapan teknik jaminan keamanan yaitu : (1) proses pembangkitan penanda integritas peta hanya dapat dilakukan oleh pihak yang berwenang, (2) pembuktian yang kuat bahwa data peta vektor SIG  tidak mengalami perubahan serta (3) validitas berkas data vektor SIG dari tindakan perubahan oleh pihak yang tidak berwenang. Nilai kecendekiawanan maupun kemitraanNilai kecendikiawanan terletak pada metode-metode yang digunakan untuk mengembangkan mekanisme penanda integritas peta vektor serta kemampuan untuk mengembalikan peta vektor ke bentuk semula. Metode pertama yang perlu dikembangkan adalah metode untuk menganalisa karakteristik spesifik dari fitur-fitur dasar spasial (garis dan poligon) sebagai penyusun peta digital 2D. Selain metode analisa karakteristik fitur spasial, perlu dikembangkan pula metode pembangkitan penanda integritas data, penyisipan penanda dan verifikasi penanda integritas untuk setiap kelompok data peta. Data peta vektor 2D yang telah mengandung penanda integritas data perlu diuji kualitas perseptual dan fidelity menggunakan indikator-indikator pengukuran yang telah ditentukan, dan bila dikehendaki dapat dikembalikan ke bentuk semula. Kemitraan yang dibina berdasarkan pada kolaborasi penelitian dengan BIG dalam konteks pengembangan standardisasi format produksi data geospasial dengan penambahan fitur-fitur layanan  keamanan didalamnya.Dampak yang dihasilkanUndang-Undang Informasi Geospasial (IG) bertujuan untuk menjamin ketersediaan dan akses terhadap IG yang dapat dipertanggungjawabkan. Tujuan ini memunculkan kebutuhan akan bentuk standar untuk semua produk data geospasial yang akan dipublikasi oleh produsen data. Dari hasil penelitian ini diharapkan memberikan solusi terhadap kebutuhan tersebut, melalui suatu sistem yang dapat menghasikan produk peta vektor digital yang mengandung penanda integritas data didalamnya tanpa mengurangi nilai akurasi data dan tetap tidak dapat dipersepsi oleh Human Visual System (HVS), dimana untuk proses verifikasi keabsahan keabsahan penanda integritas data  tidak perlu melibatkann pihak ketiga atau eksternal sebagai adjusticator.",information management
"Pengembangan Kerangka Penilaian Empiris untuk Model Kualitas Pembelajaran Digital Pengembangan dan pemanfaatan teknologi pembelajaran digital (Tavangarian, Leypold, N_lting, & M. R_ser, 2004) saat ini telah merebak di berbagai institusi pendidikan di kota-kota besar di Indonesia sebagai alternatif pembelajaran konvensional melalui tatap muka. Namun demikian, pemanfaatan teknologi pembelajaran digital di dareah-daerah rural masih jarang dilakukan, padahal justru daerah-daerah ini yang justru membutuhkan lebih banyak sentuhan teknologi informasi dalam rangka peningkatan kualitas masyarakat secara lebih ekstensif (Saptawati, 2009).Daerah rural mempunyai karakteristik yang sangat berbeda dengan daerah perkotaan, antara lain (1) terbatasnya infrastruktur, baik fisik maupun jaringan yang menyulitkan pengembangan layanan pembelajaran digital berbasis Internet di daerah rural, (2) terbatasnya tenaga ahli yang mengerti konfigurasi dan aplikasi teknologi pembelajaran digital di daerah rural, (3) kurangnya pengetahuan dasar masyarakat di daerah rural yang diperlukan untuk dapat melakukan pembelajaran digital secara mandiri.Saat ini telah banyak layanan pembelajaran digital, misalnya yang berbasis Learning Management System (Moodle), yang telah dikembangkan dan digunakan untuk menjembatani permasalahan kesenjangan digital yang terjadi di daerah-daerah rural. Namun demikian, perlu banyak modifikasi yang dilakukan pada aplikasi yang tersedia untuk dapat mengatasi permasalahan-permasalahan akses dan penggunaan pembelajaran digital di daerah rural. Selanjutnya, model layanan pembelajaran digital yang tepat untuk daerah rural juga harus dinilai secara empiris untuk mendapatkan hasil pembelajaran yang efektif dan berkualitas.Permasalahan mendasar dalam pemanfaatan pembelajaran digital untuk daerah rural yang dibahas pada riset ini adalah sebagai berikut:(1) belum adanya model pembelajaran digital yang tepat untuk dapat diterapkan di daerah rural dengan infrastruktur yang terbatas;  (2) belum adanya kerangka penilaian empiris untuk model kualitas pembelajaran digital untuk memastikan bahwa model pembelajaran digital yang diterapkan sesuai dengan kebutuhan di daerah rural(3) terbatasnya materi dan perangkat pembelajaran digital untuk daerah rural dengan infrastruktur yang terbatasPendekatan yang ditawarkan untuk memecahkan permasalahan di atas adalah sebagai berikut(1) Survei literatur sistematis (Kitchenham, 2007) mengenai penggunaan teknologi pembelajaran digital (Li, Lau, Shih, & Li, 2008) terutama di daerah rural, dengan mengambil pelajaran pada kasus-kasus sejenis di negara-negara berkembang lainnya(2) Studi empiris (Freimut, Punter, Biffl, & Ciolkowski, 2001) mengenai kualitas pembelajaran digital terutama di daerah rural dengan menggunakan survei untuk mendapatkan faktor-faktor utama pendukung kualitas pembelajaran digital di daerah rural (3) Pembentukan model pembelajaran digital yang adaptif dan dapat digunakan di daerah rural dengan infrastruktur terbatas(4) Pembuatan kerangka penilaian empiris untuk model kualitas pembelajaran digital yang telah dikembangkan(5) Pembangunan prototype sistem pendukung pembelajaran digital di daerah ruralUntuk evaluasi dan validasi, akan diadakan survei terhadap pengguna pembelajaran digital di daerah rural dengan menggunakan studi kasus SD di daerah pelosok pedesaan propinsi Jawa Barat dengan melibatkan komunitas guru SD yang telah terbentuk di Jawa Barat.Hasil yang diharapkan adalah terbentuknya model pembelajaran digital lengkap dengan kerangka penilaian empiris untuk memastikan dihasilkannya model pembelajaran digital yang tangguh (robust) sekaligus fleksibel dan adaptif dalam menghadapi keterbatasan infrastruktur di daerah rural serta perubahan teknologi dan kebutuhan dari pengguna, serta kemungkinan pengembangan dan pemanfaatan untuk domain permasalahan lain, selain pendidikan, misalnya bidang kesehatan, pertanian, dan pemerintahan.",software engineering
"PEMBANGKITAN SOAL DAN PEMERIKSAAN JAWABAN  ESSAY SECARA OTOMATIS UNTUK EVALUASI   PEMBELAJARAN DIGITAL  (An Automatic Question Generator and Answer Judgment for Digital Learning Evaluation) Pembelajaran digital sebagai salah satu metoda pembelajaran baru di dalam dunia pendidikan memiliki banyak manfaat, di antaranya adalah meningkatkan pemerataan pendidikan terutama bagi masyarakat yang mengalami kendala dalam memperoleh pembelajaran melalui pertemuan tatap muka. Jangkauan peserta pengajaran yang luas menjadikan metoda pembelajaran seperti ini cocok diterapkan di negara dengan tingkat pemerataan pendidikan yang masih kurang, seperti di Indonesia. Selain itu, penyelenggaraan pembelajaran digital juga dapat meningkatkan interaksi antara pengajar dan peserta didik, karena pengajaran tidak hanya dilakukan melalui pertemuan tatap muka saja, tetapi juga dibarengi dengan pembelajaran melalui media digital atau yang saat ini lebih dikenal dengan e-learning. Sebagian besar media pembelajaran digital yang telah ada, berperan sebagai perantara penyampaian materi ajar, sedangkan untuk materi evaluasi masih sangat terbatas, sehingga hasil dari penyelenggaraan pengajaran digital ini belum dapat dievaluasi dengan baik. Salah satu penyebab sulitnya proses evaluasi dilakukan pada pembelajaran digital adalah kurangnya waktu yang dimiliki pengajar untuk mempersiapkan materi evaluasi dan kurangnya pengetahuan pengajar bagaimana menampilkan materi evaluasi pada media digital terutama media berbasis web. Kendala ini secara tidak langsung menghambat akselerasi adopsi pembelajaran digital di Indonesia.Pada penelitian ini akan dikembangkan teknologi untuk mempercepat proses pembuatan materi evaluasi dengan cara melakukan ekstrasi secara semi-otomatis dari materi ajar, dan pemeriksaan jawaban peserta didik secara otomatis. Cara ini dapat meningkatkan frekuensi evaluasi yang didapatkan oleh peserta pengajaran, sehingga akan didapat hasil evaluasi yang lebih baik dari proses belajar yang dijalankan, sekaligus dapat  mengurangi beban pengajar sebagai fasilitator proses pembelajaran. Materi evaluasi yang dihasilkan berupa daftar tanya jawab dari materi pengajaran terkait. Bentuk pertanyaan yang dihasilkan akan difokuskan pada pertanyaan essay.  Pada penelitian sebelumnya, telah dilakukan ekstraksi informasi dari naskah teks dalam Bahasa Indonesia. Hasil dari ekstraksi informasi pada penelitian ini adalah peta konsep pikiran (mind-map). Selain itu, telah dikembangkan pula teknologi untuk sistem tanya-jawab berdasarkan korpus teks Bahasa Indonesia (Purwarianti, 2007). Sebagai kelanjutan dari kedua penelitian tersebut, pada penelitian ini, peta informasi yang diekstrak dari naskah teks akan dibentuk menjadi pertanyaan-pertanyaan yang akan dijadikan sebagai sumber materi evaluasi, dan jawaban dari pertanyaan tersebut akan diekstrak secara otomatis menggunakan teknik di dalam natural language processing.Keluaran yang ingin didapat dari penelitian ini adalah perangkat lunak yang dapat menghasilkan materi evaluasi pengajaran secara otomatis. Perangkat lunak ini akan diintegrasikan dengan sistem pembelajaran digital yang sudah ada, seperti media digital learning di program studi Informatika maupun bekerja sama dengan Lembaga Tahap Persiapan Bersama ITB sebagai langkah awal implementasi untuk kemudian dapat diimplementasikan secara luas di institusi-institusi pendidikan di Indonesia yang menyelenggarakan pembelajaran digital.Selain itu, pada penelitian ini akan dilakukan penyempurnaan metode pembangkitan pertanyaan yang dikembangkan pada penelitian yang dilakukan oleh A. Purwarianti pada tahun 2007 untuk diterapkan pada pembangkitan pertanyaan bahan evaluasi materi ajar digital.  Penyempurnaan metoda pembangkitan pertanyaan ini akan menjadi sebuah karya yang layak didaftarkan sebagai paten.",intelligent system
"Solusi lojik penanganan objek bergerak dalam model Basisdata Spatio Temporal Kebencanaan Indonesia Program penelitian Hibah Stranas Dikti dengan judul Model Spatio-Temporal Basisdata bagi kebencanaan di Indonesia diturunkan dalam waktu 3 (tiga) tahun program dengan sasaran:1. Tahun pertama(2012): menemukan model basisdata spatio-temporal kebencanaan tepat guna untuk kondisi Indonesia2. Tahun kedua(2013): menghidupkan lingkungan pengelolaan basis data spatio-temporal kebencanaan di Indonesia yang berbasis web.3. Tahun ketiga(2014) : uji coba penerapan basisdata spatio-temporal kebencanaan di Indonesia dan sistem pengelolaannya di lokasi test-bed di Jawa Barat.Pelaksanaan rangkaian 3 (tiga) tahun penelitian ini (2011-2014) merupakan kelanjutan dari kegiatan penelitian Manajemen Disaster yang dilakukan pada tahun 2009 _ 2010 didanai oleh Hibah DIKTI . [3].Dalam perjalanan menerapkan pengembangan model Spatio-temporal yang didapat dari proses penelitian tahun 2012 ditemukan adanya keterbatasan dalam merepresentasikan data objek yang sifatnya bergerak terus. Ciri data objek bergerak adalah objek yang memiliki sifat dinamis, yaitu dinamika perubahan lokasi waktu dari objek yang ditinjau - beserta atribut informasi objek bergerak tersebut yang berubah setiap saat.  Adapun status objek bergerak tersebut berubah setiap saat, dalam kondisi ini perlu didapat kejelasan informasi objek bergerak tersebut dengan representasi lokasi, waktu dan status data objek bergerak tersebut dari waktu ke waktu. Salah satu contoh nyata adalah ketika terjadi bencana di satu lokasi tertentu, bagian dari proses tanggap darurat adalah memberikan informasi bagaimana bantuan dengan status penyalurannya terjadi dari waktu ke waktu. Juga bagaimana kejadian atau event bencana beserta kerusakan yang terjadi dicirikan lokasi kejadiannya dari waktu ke waktu. Pengelolaan data objek dinamis beserta kemampuan akses yang dapat mencerminkan lokasi objek beserta atributnya setiap saat dari waktu ke waktu perlu dipelihara dna dijaga kesinambungannya.Lingkungan Geographical Information System (GIS) dan lingkungan spatio-temporal (SPATEM) yang dibangun dalam model spatio-temporal SPATEM 2012 belum memberikan fasilitas penanganan terhadap pengelolaan informasi objek bergerak seperti bantuan kebencanaan ini.Secara konsep diprediksi bahwa terhadap model spatio temporal yang ada, dapat ditumbuh kembangkan dan ditindak lanjuti dengan menambahkan aspek perubahan lokasi objek bergerak, atribut status objek bergerak ditambah dengan kemungkinan query untuk akses informasi tersebut [1], [2]. Karena itu pada kesempatan ini diajukan kegiatan penelitian dengan judul Solusi lojik penanganan objek bergerak dalam model Basisdata Spatio Temporal Kebencanaan IndonesiaDiharapkan penelitian ini dapat menghasilkan Model SPATEM-OB (Spatio-Temporal bagi Objek Bergerak), dan selanjutnya hasil ini dapat dijadikan umpan balik  bagi proses penerapan penelitian Manajemen Basisdata Spatio Temporal yang didanai dari Hibah DIKTI Stranas di tahun 2013 ini, sehingga terjadilah proses sinergisme dalam melengkapi dan menuntaskan pembentukan model basisdata SPATEM yang sebelumnya ada (2012).&#8195;",information management
Pengembangan Model Kualitas Informasi untuk Rumah  Sakit dengan menggunakan pendekatan Six-Sigma Informasi yang berkualitas merupakan salah satu enabler keberhasilan pengelolaan rumah sakit. Kesalahan dalam mengelola informasi akan mengakibatkan kerugian yang sangat besar. Oleh karena itu pengelolaan data dan informasi yang berkualitas di rumah sakit menjadi fokus utama penelitian ini. Penelitian ini merupakan kelanjutan penelitian IQMM [KUR10]. Penelitian bertujuan untuk mengidentifikasi jenis-jenis informasi kritis yang penting bagi rumah sakit dan proses pengelolaannya. Jenis informasi tersebut akan dikelola kualitasnya dengan menggunakan pendekatan metoda SixSigma. Hasil penelitian akan diujicobakan  dalam bentuk studi kasus pada rumah sakit swasta yang sudah menerapkan Hospital Information System di kota bandung,information management
"Peningkatan Daya Saing Pedagang Eceran Tradisional dengan Penerapan Aplikasi Point of Sale  berbasis Smartphone Salah satu usaha untuk membantu pedagang eceran tradisional menghadapi persaingan dengan pedagang eceran modern adalah memperluas akses teknologi bagi pedagang eceran tradisional. Kegiatan ini mengusulkan penerapan aplikasi Point of Sale (POS) berbasis smartphone bagi pedagang eceran tradisional. Aplikasi POS yang ada saat ini merupakan aplikasi desktop berbasis PC yang tidak efektif digunakan oleh pedagang eceran tradisional. Beberapa aplikasi POS berbasis smartphone yang sudah tersedia tidak dapat langsung digunakan. Untuk itu, dibutuhkan aplikasi POS berbahasa Indonesia yang gratis, bersifat open source, sederhana, mudah digunakan, dan sesuai dengan kebutuhan perdagangan eceran di Indonesia. Tujuan kegiatan ini adalah memperluas akses teknologi bagi pedagang eceran tradisional sehingga dapat meningkatkan daya saingnya terhadap pedagang eceran modern. Keluaran dari kegiatan ini adalah aplikasi POS yang bersifat gratis dan open source (FOSS/Free and Open Source Software), dan uji coba penerapannya terhadap beberapa pedagang eceran tradisional.Kegiatan usulan ini dibagi menjadi dua tahap yaitu pembangunan aplikasi POS berbasis smartphone, dan uji coba penerapan aplikasi POS pada beberapa pedagang eceran tradisional. Pembangunan aplikasi menggunakan metodologi incremental prototyping. Ujicoba dilakukan dengan menggunakan operator pendamping yang akan memberikan pelatihan bagaimana mencatat semua informasi barang, penjualan, pembelian, dan pengendalian stok barang menggunakan smartphone yang disediakan.",software engineering
"Pengembangan Aplikasi Sarana Pelayanan Masyarakat (SAPA) Berbasis Mobile Untuk Mendukung Integrasi Informasi Program Posyandu Jawa Barat Program Posyandu adalah kegiatan Upaya Kesehatan bersumber Daya Masyarakat (UKBM) yag dikelola dan dselenggarakan dari, oleh, untuk, dan bersama masyarakat dalam penyelenggaraan pembangunan kesehatan. Program ini diusulkan oleh Ibu Tien Soeharto pada era kepresidenan Suharto dengan tujuan memberi kemudahan pelayanan kesehatan dasar untuk mempercepat penurunan angka kematian ibu dan bayi.Keberhasilan program ini dalam mensukseskan progam penurunan kematian ibu dan bayi , dan program keluarga berencana berdampak pada kelanjutan program ini sampai sekarang.  Sayangnya, kegiatan ini belum didukung dengan infratruktur yang memadai untuk aktivitas collect, and forward data dari para kader Posyandu ke instansi pemerintah terkait. Begitu sebaliknya, para kader Posyandu masih kesulitan mendapatkan akses informasi terkait kegiatan Posyandu, baik berupa pengetahuan baru, pengalaman, maupun informasi penting dari instansi pemerintah.Smartphone sebagai media mobile computing yang saat ini relatif murah, dapat menjadi alat yang efektif untuk mendukung aktivitas para kader Posyandu tersebut. Hal ini didasari pada kenyataan bahwa perangkat mobile (seperti mobile phone) sudah banyak digunkan oleh masyrakat baik tua, muda maupun anak-anak. Dengan smartphone, kader Posyandu dapat melakukan collect & forward data dengan cepat, mudah, dan murah ke instansi pemerintah., secara real-time. Begitu pula sebaliknya, pihak pemerintah dapat mengirimkan informasi penting & real-time ke kader Posyandu untuk disebarkan ke ibu-ibu dalam wilayah binaannya.  Fasilitas tambahan yang disediakan oleh berbagai jenis smartphone saat ini adalah kemudahaan melakukan auto-update. Dengan demikian, penambahan fasilitas layanan pengelolaan Posyandu dapat dilakukan dengan mudah. Kegiatan penelitian ini akan mengembangkan aplikasi perangkat lunak di platform Android untuk mendukung integrasi informasi program Posyandu di Jawa Barat. Kegiatan ini akan bekerja sama dengan Yayasan Taman PAUD yang sudah banyak membina program Posyandu di daerah Bandung dan sekitarnya.   Yayasan ini diketuai oleh Dr.Anna Alisyahbana yang berkedudukan di  Jalan Dederuk no 11  Bandung.Penelitian ini adalah penerapan dari hasil kegiatan penelitian di mobile computing, dengan domain masalah yang akan dikembangkan antara lain masalah e-report dan e-knowledge. Hasil dari kegiatan penelitian ini akan diujicobakan kepada para kader Posyandu.",software engineering
"Aplikasi Smart Metering System untuk Implementasi Green IT Isu lingkungan hidup sudah menjadi topik yang semakin sering dibicarakan karena menyangkut kehidupan manusia di bumi baik sekarang maupun masa depan. Berbagai pihak termasuk organisasi, perusahaan, atau enterprise mulai menyesuaikan dengan prinsip ramah lingkungan. Salah satunya dengan menggunakan teknologi informasi (TI) ramah lingkungan yang terbukti dapat meminimalisasi emisi karbon dan dampak organisasi terhadap lingkungan akibat proses bisnis yang tidak efektif dan efisien. TI pun membantu membuat lingkungan yang berkelanjutan dan tetap menawarkan keuntungan ekonomis. TI ramah lingkungan biasa disebut Green IT.Green IT sendiri dapat diterapkan mulai dari perangkat lunak, perangkat keras, hingga proses bisnis. Namun, kesiapan organisasi dalam penerapan Green IT pun berbeda-beda. Oleh karena itu, dalam penelitian ini dikembangkan satu pengukuran untuk menilai kesiapan organisasi dalam menerapkan Green IT agar penerapan tidak salah sasaran dan sesuai dengan organisasi. Pengukuran yang dikembangkan terbagi menjadi 21 faktor kesiapan yaitu 7 faktor kesiapan Strategi, 6 faktor kesiapan Teknologi, 4 faktor kesiapan Proses, dan 4 faktor kesiapan Manusia. Selain itu, terdapat matriks untuk menentukan pendekatan yang tepat bagi organisasi untuk menerapkan Green IT.",information management
"Framework Implementasi Nilai Teknologi Informasi pada Industri Kecil Menengah di Indonesia untuk Peningkatan Keunggulan Bersaing Framework implementasi nilai teknologi informasi (TI) bagi perusahaan di Industri Kecil Menengah (IKM) belum ada sehingga perusahaan-perusahaan yang termasuk ke dalam IKM masih mengalami kesulitan dalam melakukan leveraging  TI untuk membangun keunggulan bersaing (competitive advantage) pada tingkat nasional maupun internasional. Nilai TI bagi perusahaan sudah terbukti dari berbagai riset dapat meningkatkan kapabilitas perusahaan (organization capability), kompetensi ini (core competence) perusahaan, dan pada akhirnya dapat meningkatkan kinerja perusahaan (firm performance) dan nilai perusahaan (firm value) (Abdurahman, L., Suhardi, Langi, A; 2013a; Abdurahman, L., Suhardi, Langi, A; 2014). Pengujian model secara empiris sudah dilakukan pada perusahaan jasa telekomunikasi (Abdurahman, L., Suhardi, Langi, A; 2013b; Abdurahman, L., Suhardi, Langi, A; 2013c) dan perusahaan sektor perkebunan (Ramadani, L., Suhardi; Ramadani, L, 2014).  Hasil penelitian ini juga menunjukan hasil yang sama untuk perusahaan / industri kecil dan menengah. Oleh sebab itu tentu dapat dibuat sebuah kerangka kerja implementasi nilai TI untuk perusahaan-perusahaan IKM di Indonesia.Penelitian untuk mendapatkan framework implementasi nilai TI pada perusahaan IKM di Indonesia perlu dilakukan berdasarkan beberapa alasan. Pertama, model nilai TI bagi perusahaan, khususnya perusahaan kecil dan menengah sudah terbukti dapat dilakukan (Ahmed, I., 2010; Berisha-Namani, M. 2009; Ghobakhloo, M., Hong, T., Sabouri, M.  and Zulkifli, N., 2012; Haddara, M., Pí_iví_rinta, T., 2011). Kedua, framework implementasi nilai TI sudah dapat dilakukan secara konseptual (Suhardi, Novianto, B. K., 2014), framework ini juga sudah diuji pada satu organisasi pemerintahan (Suhardi, Novianto, B. K., 2014). Oleh sebab itu framework ini seharusnya juga dapat dibuat untuk perusahaan-perusahaan IKM di Indonesia. Ketiga, perusahaan-perusahaan IKM di Indonesia sangat diharapkan menjadi penggerak pertumbuhan ekonomi, namun sampai hari ini pertumbuhan perusahaan IKM dari kelas kecil menuju kelas menengah dan dari kelas menengah menuju kelas besar belum menampakan angka yang signifikan. Keempat, perusahaan IKM perlu segera membangun keunggulan bersaing, karena secara de facto era pasar global sudah berlangsung saat ini dan akan semakin intensif persaingan perusahaan IKM dengan perusahaan-perusahaan IKM global. Penelitian ini menggunakan metoda penelitian desain (design research methodology) (Blessing, L. T. M., Chakrabarti, A., 2009) yang disesuaikan dengan keluaran yang akan dihasilkan, yaitu framework implementasi nilai TI perusahaan-perusahaan IKM di Indonesia. Penelitian ini akan melibatkan 20 äóñ 50 perusahaan IKM yang eksistensinya dipengaruhi oleh penggunaan TI secara signifikan. Perusahaan-perusahaan IKM yang akan dilibatkan dalam penelitian ini dikelompokan menjadi 3 yaitu: i) kelompok perusahaan IKM yang sudah menggunakan TI dan berhasil membangun keunggulan bersaing, ii) kelompok perusahaan IKM yang sudah menggunakan TI dan belum berhassil membangun keunggulan bersaing, dan iii) perusahaan IKM yang belum menggunakan TI.Hasil penelitian ini adalah framework implementasi nilai TI perusahaan-perusahaan IKM di Indonesia. Mengingat keterbatasan waktu dan dana, penelitian ini akan memforkuskan pada IKM sektor jasa, khususnya sektor jasa keuangan. Sektor IKM jasa keuangan sangat penting untuk membangun perekonomian Indonesia yang kuat dan pertumbuhan ekonomi yang cepat. Framework ini selanjutnya dapat diadaptasikan secara mudah pada semua perusahaan IKM di sektor jasa, sektor perdagangan dan sektor manufaktur.",software engineering
"Open-Enterprise Resource Planning untuk Peningkatan Keunggulan Industri Kecil dan Menengah Usaha Kecil dan Menengah merupakan salah satu bidang usaha yang masih memerlukan dukungan teknologi informasi untuk meningkatkan efisiensi dan produktivitas usahanya. Enterprise Resource Planning (ERP) merupakan sebuah strategi berbasis teknologi informasi yang mampu mengintegrasikan seluruh rangkaian proses bisnis di perusahaan. Perangkat lunak ERP banyak dibutuhkan oleh perusahaan tetapi berharga sangat mahal. Tujuan penelitian pembuatan perangkat lunak OpenSource ERP untuk Usaha Kecil dan Menengah adalah: [1] Membantu peningkatan efektivitas dan efisiensi UKM melalui teknologi informasi sehingga memiliki daya saing yang baik. [2] Membuat produk perangkat lunak ERP yang bersifat opensource khusus untuk UKM, sehingga bisa dimanfaatkan oleh UKM dengan biaya tidak mahal. [3] Menciptakan perangkat lunak ERP opensource yang bersifat umum sehingga bisa diterapkan untuk seluruh jenis industri secara mudah dan praktis. [3] Meningkatkan pengalaman pembuatan perangkat lunak yang bersifat kompleks sehingga pengalaman tersebut dapat disebarluaskan dalam mata kuliah. Pelaksanaan penelitian dilakukan dengan metodologi Software Development Life Cycle (SDLC) untuk membuat perangkat lunak ERP opensource.",enterprise computing
"Pemanfaatan TIK untuk Peningkatan Industri Kecil Menengah bidang Pariwisata melalui Intelligent Tourism Center System Saat ini, pelaku industri usaha kecil menengah bidang pariwisata menyajikan dan menyebarkan informasi layanan dan tujuan wisata melalui cara dan metoda yang berbeda-beda dan lebih bersifat single fighter dan tanpa terintegrasi dengan informasi dari bisnis sejenis. Hal ini mengakibatkan wisatawan akan memiliki akses ke banyak situs web yang berbeda untuk menemukan informasi tentang tujuan wisata. Dampaknya akan secara langsung pada organisasi manajemen destinasi pariwisata dan penyedia pariwisata. Namun bagi wisatawan ternyata memiliki banyak masalah untuk menemukan informasi yang dapat diandalkan dan up-todate tentang tujuan mereka. Proposal ini menyajikan sebuah solusi inovatif yang membantu untuk mempromosikan destinasi pariwisata melalui platform manajemen konten yang cerdas, handal dan komprehensif yang mengintegrasikan secara online sumber informasi heterogen dan didistribusikan berbeda. Bagaimana antara pemilik data yakni usaha kecil menengah yang bergerak di bidang pariwisata dengan calon wisatawan dapat berkomunikasi.Intellegent Tourism Center ini ditawarkan menjadi solusi alternatif untuk tantangan saat ini dalam menyediakan akses yang memiliki nilai tambah yang terintegrasi pada sumber informasi konten usaha kecil-menengah di sektor pariwisata. Hal ini dimungkinkan dengan adanya integrasi yang lebih dapat dipercaya dan mudah antara wisatawan dengan penyedia layanan dengan sistem ini. Berbagai saluran yang tergabung menyajikan konten yang berasal dari berbagai sumber mengenai produk-produk pariwisata dan tujuannya. Hal ini dimungkinkan dengan adanya halaman website, media sosial, dan katalog publik.",intelligent system
"Pemanfaatan Open-Source ERP untuk meningkatkan Kemampuan UKM Perkembangan bisnis dan teknologi secara global tidak henti-hentinya menuntut para pelaku pasar untuk terus berpikir inovatif dalam memajukan bisnisnya. Hal ini juga berlaku untuk sektor Usaha Kecil dan Menengah (UKM). Melihat jumlahnya yang 100 kali lipat lebih banyak dari usaha berskala besar, peran UKM sebagai ujung tombak kemajuan perekonomian negara bersifat strategis (Kementrian Koperasi & UKM, 2010). Namun UKM masih belum mampu menggeser kedudukan usaha skala besar dalam persaingan industri saat ini. Rendahnya daya saing UKM salah satunya disebabkan oleh terbatasnya sumber daya yang dimilikinya, baik sumber daya ekonomi, sumber daya manusia, sumber daya teknologi, maupun akses ke dunia luar. Demi menjawab masalah ini, UKM memerlukan inovasi pemanfaatan teknologi informasi yang dapat mengoptimalkan proses bisnisnya ke arah yang lebih baik.Enterprise Resource Planning (ERP) merupakan sebuah strategi berbasis teknologi informasi yang mampu mengintegrasikan seluruh rangkaian proses bisnis di perusahaan. Perangkat lunak ERP banyak dibutuhkan oleh UKM tetapi berharga sangat mahal. Tujuan pengabdian masyarakat ini adalah membuat perangkat lunak OpenSource ERP untuk Usaha Kecil dan Menengah sehingga dapat: [1] Membantu meningkatkan efektivitas dan efisiensi UKM melalui teknologi informasi agar memiliki daya saing yang baik. [2] Membuat produk perangkat lunak ERP yang bersifat opensource khusus untuk UKM, sehingga bisa dimanfaatkan oleh UKM dengan biaya tidak mahal. [3] Menciptakan perangkat lunak ERP opensource yang bersifat umum sehingga bisa diterapkan untuk seluruh jenis industri secara mudah dan praktis. [3] Meningkatkan pengalaman pembuatan perangkat lunak yang bersifat kompleks sehingga pengalaman tersebut dapat disebarluaskan dalam mata kuliah. Pelaksanaan kegiatannya dilakukan dengan metodologi Software Development Life Cycle (SDLC) untuk membuat perangkat lunak ERP dan dengan memanfaatkan paket ERP open-source yang terpilih.Kegiatan akan dilaksanakan selama 8 bulan dengan target sasaran berupa UKM dan Koperasi/KUD yang terdapat di Bandung & sekitarnya. Pelaksanaannya akan dibantu oleh beberapa mahasiswa sebagai bagian dari topik Tugas Akhirnya. Diharapkan nantinya dapat dibuat paket software ERP untuk UKM yang diproduksi secara massal dan dijual dengan harga murah.",enterprise computing
